Title,Test Interactions,Food Interactions
Tacrolimus (Systemic) (Lexi-Drugs),,"Ethanol: Alcohol may increase the rate of release of extended-release tacrolimus and adversely affect tacrolimus safety and/or efficacy.

Management: Avoid alcohol.

Food: Food decreases rate and extent of absorption. High-fat meals have most pronounced effect (37% and 25% decrease in AUC, respectively, and 77% and 25% decrease in Cmax, respectively, for immediately release and extended release formulations). Grapefruit juice, a CYP3A4 inhibitor, may increase serum level and/or toxicity of tacrolimus. Management: Administer with or without food (immediate release), but be consistent. Administer extended release on an empty stomach. Avoid concurrent use of grapefruit juice.

"
Dipyridamole (Lexi-Drugs),"Concurrent caffeine or theophylline use may demonstrate a false-negative result with dipyridamole-thallium myocardial imaging.

",
Azithromycin (Systemic) (Lexi-Drugs),,"Rate and extent of GI absorption may be altered depending upon the formulation. Azithromycin suspension, not tablet form, has significantly increased absorption (46%) with food. Management: Immediate release suspension and tablet may be taken without regard to food; extended release suspension should be taken on an empty stomach (at least 1 hour before or 2 hours following a meal).

"
Trace Elements (Lexi-Drugs),,
Trimethobenzamide (Lexi-Drugs),,
Tisagenlecleucel (Lexi-Drugs),"May result in false positive results with some commercial HIV nucleic acid tests.

",
Ergotamine and Caffeine (Lexi-Drugs),,"See individual agents.

"
PACLitaxel (Protein Bound) (Lexi-Drugs),,"Paclitaxel (protein bound) serum concentrations may be increased when taken with grapefruit or grapefruit juice. Management: Monitor for increased effects/toxicity with concomitant use.

"
Insulin NPH (Lexi-Drugs),,
Norepinephrine (Lexi-Drugs),,
von Willebrand Factor (Recombinant) (Lexi-Drugs),,
Trastuzumab and Hyaluronidase (Lexi-Drugs),,
Bevacizumab (Lexi-Drugs),,
Imipenem and Cilastatin (Infectious Diseases),"Interferes with urinary glucose determination using Clinitest®; positive Coombs' [direct]

",
Isosorbide Dinitrate (Lexi-Drugs),,
Iobenguane I 123 (Lexi-Drugs),,
Meropenem (Lexi-Drugs),"Positive Coombs' [direct]

",
DOPamine (Lexi-Drugs),,
CycloSPORINE (Ophthalmic) (Lexi-Drugs),,
Lefamulin (Lexi-Drugs),,"Administration with a high-fat, high-calorie breakfast slightly reduced bioavailability. Management: Administer ≥1 hour before a meal or 2 hours after a meal.

"
CycloPHOSphamide (Lexi-Drugs),,
Nelarabine (Lexi-Drugs),,
Ferric Derisomaltose (Lexi-Drugs),,
Gemtuzumab Ozogamicin (Lexi-Drugs),,
Cefuroxime (Geriatric Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution); false- negative may occur with ferricyanide test. Glucose oxidase or hexokinase-based methods should be used.

","Bioavailability is increased with food; cefuroxime serum levels may be increased if taken with food or dairy products. Clinical and bacteriologic responses were independent of food intake in clinical trials. Management: Administer tablet without regard to meals; suspension must be administered with food.

"
"Factor IX Complex (Human) [(Factors II, IX, X)] (Lexi-Drugs)",,
Cemiplimab (Lexi-Drugs),,
Aprepitant (Lexi-Drugs),,"Aprepitant serum concentration may be increased when taken with grapefruit juice. Management: Avoid concurrent use.

"
Thiotepa (Lexi-Drugs),,
"Vonoprazan, Amoxicillin, and Clarithromycin (Lexi-Drugs)",,
Anidulafungin (Lexi-Drugs),,
Gadobenate Dimeglumine (Lexi-Drugs),"May cause transient increase in serum ferritin, urine zinc (with renal disease), or bilirubin (with hepatic metabolic disorders)

",
Pembrolizumab (Geriatric Lexi-Drugs),,
Antihemophilic Factor (Recombinant [Fc Fusion Protein]) (Lexi-Drugs),,
Vedolizumab (Lexi-Drugs),,
Chloramphenicol (Systemic) (Lexi-Drugs),,
Clevidipine (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
Bebtelovimab (Lexi-Drugs),,
Erythromycin and Benzoyl Peroxide (Lexi-Drugs),,
Trastuzumab-Vinorelbine (Breast) (Lexi-Drugs),,
DiphenhydrAMINE (Systemic) (Lexi-Drugs),"May interfere with urine detection of methadone and phencyclidine (false-positives); may cause false-positive serum TCA screen; may suppress the wheal and flare reactions to skin test antigens

",
Betamethasone (Topical) (Lexi-Drugs),"May suppress the wheal and flare reactions to skin test antigens

",
Dexrazoxane (Pediatric and Neonatal Lexi-Drugs),,
Sotrovimab (Lexi-Drugs),,
BChE - Mivacurium (Pharmacogenomics),,
Benzyl Alcohol (Lexi-Drugs),,
Ferric Gluconate (Pediatric and Neonatal Lexi-Drugs),"

Serum or transferrin bound iron levels may be falsely elevated if assessed within 24 hours of ferric gluconate administration. Serum ferritin levels may be falsely elevated for 5 days after ferric gluconate administration.

",
Siltuximab (Lexi-Drugs),,
Selenium (Lexi-Drugs),,
Palonosetron (Lexi-Drugs),,
Fluorouracil and Salicylic Acid (Lexi-Drugs),,
VinCRIStine (Lexi-Drugs),,
Octreotide [ANTIDOTE] (Lexi-Tox),,
VinBLAStine (Lexi-Drugs),,
Carboplatin-Paclitaxel-Trastuzumab (Breast) (Lexi-Drugs),,
Vitamin B Complex Combinations (Lexi-Drugs),,"Iron absorption is inhibited by eggs and milk.

"
Lidocaine (Ophthalmic) (Lexi-Drugs),,
Insulin Aspart (Lexi-Drugs),,
DiphenhydrAMINE (Systemic) (Lexi-Drugs),"May interfere with urine detection of methadone and phencyclidine (false-positives); may cause false-positive serum TCA screen; may suppress the wheal and flare reactions to skin test antigens

",
Iothalamate Meglumine (Lexi-Drugs),"May alter results of thyroid function tests that are dependent on iodine estimation and may affect results of radioiodine uptake studies; perform these studies prior to diagnostic tests with iodinated contrast media.

",
Insulin Regular (Lexi-Drugs),,
Treprostinil (Lexi-Drugs),,
Cefotaxime (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction

",
Dantrolene (Lexi-Drugs),,
Gemcitabine-Vinorelbine (NSCLC) (Lexi-Drugs),,
Durvalumab (Lexi-Drugs),,
Brivaracetam (Lexi-Drugs),,"Food may delay but does not affect the extent of absorption. Management: Administer without regard to meals.

"
Amifostine (Lexi-Drugs),,
Capreomycin (Lexi-Drugs),,
Neostigmine (Lexi-Drugs),,
Emapalumab (Lexi-Drugs),,
Ketamine (Lexi-Drugs),"May interfere with urine detection of phencyclidine (false-positive).

",
Zinc Chloride (Lexi-Drugs),,
Fosaprepitant (Geriatric Lexi-Drugs),,"Aprepitant serum concentration may be increased when taken with grapefruit juice. Management: Avoid concurrent use.

"
Imipenem and Cilastatin (Geriatric Lexi-Drugs),"Interferes with urinary glucose determination using Clinitest®; positive Coombs' [direct]

",
DimenhyDRINATE (Lexi-Drugs),,
Anti-inhibitor Coagulant Complex (Human) (Lexi-Drugs),"Contains blood group isohemagglutinins; passive transmission of antibodies to erythrocyte antigens may interfere with serological tests for red cell antibodies (eg, Coombs test).

",
Calcitriol (Topical) (Lexi-Drugs),,
Margetuximab (Lexi-Drugs),,
Alfentanil (Briggs Drugs in Pregnancy and Lactation),,
Mycophenolate (Lexi-Drugs),,"Food decreases Cmax of MPA by 40% following mycophenolate mofetil (CellCept) administration and 33% following mycophenolate sodium (Myfortic) use; the extent of absorption is not changed. Management: Take mycophenolate mofetil or mycophenolate sodium on an empty stomach to decrease variability; however, mycophenolate mofetil may be taken with food if necessary in stable renal transplant recipients.

"
Decitabine (Lexi-Drugs),,
Ferric Gluconate (Lexi-Drugs),"Serum or transferrin bound iron levels may be falsely elevated if assessed within 24 hours of ferric gluconate administration. Serum ferritin levels may be falsely elevated for 5 days after ferric gluconate administration.

",
RomiDEPsin (Lexi-Drugs),,
Olipudase Alfa (Lexi-Drugs),,
Brexanolone (Lexi-Drugs),,
Clindamycin (Briggs Drugs in Pregnancy and Lactation),,
Lamivudine and Zidovudine (Lexi-Drugs),,
Cefuroxime (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution); false- negative may occur with ferricyanide test. Glucose oxidase or hexokinase-based methods should be used.

","Bioavailability is increased with food; cefuroxime serum levels may be increased if taken with food or dairy products. Clinical and bacteriologic responses were independent of food intake in clinical trials. Management: Administer tablet without regard to meals; suspension must be administered with food.

"
Sodium Phosphates (Lexi-Drugs),,
Amisulpride (Injection) (Lexi-Drugs),,
Ofloxacin (Otic) (Lexi-Drugs),,
Peginterferon Alfa-2b (Lexi-Drugs),,
Succinylcholine (Lexi-Drugs),,
DiazePAM (Lexi-Drugs),"

False-negative urinary glucose determinations when using Clinistix® or Diastix®

",
Ibuprofen and Famotidine (Lexi-Drugs),,"See individual agents.

"
Granisetron (Lexi-Drugs),,
Mepivacaine (Pediatric and Neonatal Lexi-Drugs),,
Clofarabine (Lexi-Drugs),,
Buprenorphine (Lexi-Drugs),,
Inebilizumab (Lexi-Drugs),,
Cabazitaxel (Lexi-Drugs),,"Grapefruit juice may increase the levels/effects of cabazitaxel. Management: Monitor for increased effects/toxicity with concomitant use.

"
Propofol (Lexi-Drugs),,"Edetate disodium, an ingredient of propofol emulsion, may lead to decreased zinc levels in patients on prolonged therapy (>5 days) or those predisposed to deficiency (burns, diarrhea, and/or major sepsis). Management: Zinc replacement therapy may be needed.

"
Sirolimus (Conventional) (Lexi-Drugs),,"Grapefruit juice may decrease clearance of sirolimus. Ingestion with high-fat meals decreases peak concentrations but increases AUC by 23% to 35%. Management: Avoid grapefruit juice. Take consistently (either with or without food) to minimize variability.

"
Phenylephrine and Pramoxine (Lexi-Drugs),,
Secretin (Lexi-Drugs),,
Insulin Lispro (Lexi-Drugs),,
Melphalan (Pharmacogenomics),,
Insulin NPH and Insulin Regular (Lexi-Drugs),,
Hydroxocobalamin (Lexi-Drugs),"The following values may be affected, in vitro, following hydroxocobalamin 5 g dose. Interference following hydroxocobalamin 10 g dose can be expected to last up to an additional 24 hours. Note: Extent and duration of interference dependent on analyzer used and patient variability (Shapeton 2019).

Falsely elevated:

Basophils, hemoglobin, MCH, and MCHC [duration: 12-16 hours]

Albumin, alkaline phosphatase, cholesterol, creatinine, glucose, total protein, and triglycerides [duration: 24 hours] Bilirubin [duration: up to 4 days]

Urinalysis: Glucose, protein, erythrocytes, leukocytes, ketones, bilirubin, urobilinogen, nitrite [duration: 2-8 days]

Falsely decreased: ALT and amylase [duration: 24 hours]

Unpredictable:

AST, CK, CKMB, LDH, phosphate, and uric acid [duration: 24 hours] PT (quick or INR) and aPTT [duration: 24-48 hours]

Urine pH [duration: 2-8 days]



May also turn both the plasma and urine a pinkish color and interfere with colorimetric or spectrophotometric tests (Wong 2016); may cause hemodialysis machines to shut down due to false detection of a blood leak from the blood-like appearance of the solution.

",
Voriconazole (Lexi-Drugs),,"Food may decrease voriconazole absorption. Management: Oral voriconazole should be taken 1 hour before or 1 hour after a meal. Maintain adequate hydration unless instructed to restrict fluid intake.

"
"Botulism Antitoxin, Heptavalent (Lexi-Drugs)","Blood glucose: Administration may result in falsely elevated blood glucose concentrations due to the presence of maltose in the botulism antitoxin, specifically when blood glucose is measured using glucose dehydrogenase pyrroloquinoline-quinone (GDH-PQQ) method.

",
Cefuroxime (Briggs Drugs in Pregnancy and Lactation),,
Cefepime (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction, false-positive urinary proteins and steroids

",
Ferric Carboxymaltose (Pediatric and Neonatal Lexi-Drugs),"Serum or transferrin bound iron levels may be falsely elevated if assessed within 24 hours of ferric carboxymaltose administration.

",
"Imipenem, Cilastatin, and Relebactam (Lexi-Drugs)","Positive Coombs.

",
Ceftolozane and Tazobactam (Infectious Diseases),,
Sirolimus (Topical) (Lexi-Drugs),,
Epoetin Alfa (Lexi-Drugs),"HbA1c: Erythropoiesis-stimulating agents may artificially lower HbA1c through increased circulation of immature erythrocytes in the peripheral blood stream that have less exposure to glucose (Kobayashi 2016; Rasche 2017).

",
Zidovudine (Lexi-Drugs),,
Ertapenem (Lexi-Drugs),,
Oxytocin (Lexi-Drugs),,
Factor IX (Recombinant [Glycopegylated]) (Lexi-Drugs),,
Gadoteridol (Briggs Drugs in Pregnancy and Lactation),,
Levothyroxine (Lexi-Drugs),"T4-binding globulin (TBG): Factors that alter binding in serum (ATA/AACE [Garber 2012]):

Note: T4 is ~99.97% protein bound. Factors that alter protein binding will affect serum total T4 levels; however, measurement of serum free T4 (the metabolically active moiety) has largely replaced serum total T4 for thyroid status assessment.

Conditions/states that increase TBG binding: Pregnancy, hepatitis, porphyria, neonatal state

Medications that increase TBG binding: Estrogens, 5-fluorouracil, heroin, methadone, mitotane, perphenazine, selective estrogen receptor modulators (eg, tamoxifen, raloxifene)

Conditions/states that decrease TBG binding: Hepatic failure, nephrosis, severe illness.

Medications that decrease TBG binding: Androgens, anabolic steroids, glucocorticoids, L-asparaginase, nicotinic acid

Thyroxine (T4) and triiodothyronine (T3): Serum binding inhibitors (ATA/AACE [Garber 2012]):

Medications that inhibit T4 and T3 binding: Carbamazepine, furosemide, free fatty acids, heparin, NSAIDS (variable, transient), phenytoin, salicylates

Thyroid gland hormone: Interference with production and secretion (ATA/AACE [Garber 2012]): Medications affecting iodine uptake: Amiodarone, iodinated contrast agents, iodine, ethionamide

Medications affecting hormone production: Amiodarone, ethionamide, iodinated contrast agents, iodine, sulfonylureas, sulfonamides, thionamides (carbimazole, methimazole, propylthiouracil),

Medications affecting secretion: Amiodarone, iodinated contrast agents, iodine, lithium

Medications inducing thyroiditis: Alemtuzumab, amiodarone, antiangiogenic agents (lenalidomide, thalidomide), denileukin diftitox, interferon alpha, interleukins, lithium, tyrosine kinase inhibitors (sunitinib, sorafenib)

Medications potentially causing the development of Graves’: Alemtuzumab, interferon alpha, antiretroviral therapy Medications potentially ameliorating thyroiditis (if autoimmune) or Graves’: Glucocorticoids

Hypothalamic-pituitary axis and TSH: Interference with secretion (ATA/AACE [Garber 2012]):

Medications decreasing TSH secretion: Bexarotene, dopamine, dopaminergic agonists (bromocriptine, cabergoline), glucocorticoids, interleukin-6, metformin, opiates, somatostatin analogues (octreotide, lanreotide), thyroid hormone analogues

Medications increasing TSH secretion: Amphetamine, interleukin 2, metoclopramide, ritonavir, St John's wort Medications potentially causing hypophysitis: Ipilimumab

","Taking levothyroxine with enteral nutrition may cause reduced bioavailability and may lower serum thyroxine levels leading to signs or symptoms of hypothyroidism. Soybean flour (infant formula), soy, grapefruit juice, espresso coffee, cottonseed meal, walnuts, calcium, iron, and dietary fiber may interfere with absorption of levothyroxine from the GI tract. Management: Take in the morning on an empty stomach at least 30 minutes before food. Alternatively, may consistently administer at night 3 to 4 hours after the last meal (AACE/ATA [Garber 2012]; ATA [Jonklaas 2014]). Consider an increase in dose if taken with enteral tube feed. Do not administer within 4 hours of calcium- or iron- containing products.

"
Tedizolid (Lexi-Drugs),,
ALfentanil (Lexi-Drugs),,
Idecabtagene Vicleucel (Lexi-Drugs),,
Iopamidol (Lexi-Drugs),"Iodine-binding capacity of thyroid tissue may be reduced for up to 2 weeks following administration of contrast media; diagnostic tests using iodine-containing isotopes may be affected. Thyroid function tests that are independent of iodine estimation for results are not affected (eg, T3 resin uptake, thyroxine assays).

",
Methohexital (Lexi-Drugs),,
Amantadine (Lexi-Drugs),"May interfere with urine detection of amphetamines/methamphetamines (false-positive).

",
Chlorothiazide (Lexi-Drugs),"May interfere with tests for parathyroid function; may lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016)

","Chlorothiazide serum levels may be increased if taken with food. Management: Administer without regard to food.

"
Gemcitabine (Lexi-Drugs),,
Ciprofloxacin (Otic) (Lexi-Drugs),,
Bevacizumab-Carboplatin-Paclitaxel (Ovarian) (Lexi-Drugs),,
Avalglucosidase Alfa (Lexi-Drugs),,
Liothyronine (Lexi-Drugs),"T4-binding globulin (TBG): Factors that alter binding in serum (ATA/AACE [Garber 2012]):

Note: T4 is ~99.97% protein bound. Factors that alter protein binding will affect serum total T4 levels; however, measurement of serum free T4 (the metabolically active moiety) has largely replaced serum total T4 for thyroid status assessment.

Conditions/states that increase TBG binding: Pregnancy, hepatitis, porphyria, neonatal state

Medications that increase TBG binding: Estrogens, 5-fluorouracil, heroin, methadone, mitotane, perphenazine, selective estrogen receptor modulators (eg, tamoxifen, raloxifene)

Conditions/states that decrease TBG binding: Hepatic failure, nephrosis, severe illness

Medications that decrease TBG binding: Androgens, anabolic steroids, glucocorticoids, L-asparaginase, nicotinic acid

Thyroxine (T4) and Triiodothyronine (T3): Serum binding inhibitors (ATA/AACE [Garber 2012]):

Medications that inhibit T4 and T3 binding: Carbamazepine, furosemide, free fatty acids, heparin, NSAIDS (variable, transient), phenytoin, salicylates

Thyroid gland hormone: Interference with production and secretion (ATA/AACE [Garber 2012]): Medications affecting iodine uptake: Amiodarone, iodinated contrast agents, iodine, ethionamide

Medications affecting hormone production: Amiodarone, ethionamide, iodinated contrast agents, iodine, sulfonylureas, sulfonamides, thionamides (carbimazole, methimazole, propylthiouracil)

Medications affecting secretion: Amiodarone, iodinated contrast agents, iodine, lithium



Medications inducing thyroiditis: Alemtuzumab, amiodarone, antiangiogenic agents (lenalidomide, thalidomide), denileukin diftitox, interferon alpha, interleukins, lithium, tyrosine kinase inhibitors (sunitinib, sorafenib)

Medications potentially causing the development of Graves’: Alemtuzumab, interferon alpha, antiretroviral therapy Medications potentially ameliorating thyroiditis (if autoimmune) or Graves’: Glucocorticoids

Hypothalamic-pituitary axis and TSH: Interference with secretion (ATA/AACE [Garber 2012]):

Medications decreasing TSH secretion: Bexarotene, dopamine, dopaminergic agonists (bromocriptine, cabergoline), glucocorticoids, interleukin-6, metformin, opiates, somatostatin analogues (octreotide, lanreotide), thyroid hormone analogues

Medications increasing TSH secretion: Amphetamine, interleukin 2, metoclopramide, ritonavir, St John's wort Medications potentially causing hypophysitis: Ipilimumab

",
Pembrolizumab (Lexi-Drugs),,
Bevacizumab FOLFOX (Colorectal) (Lexi-Drugs),,
Daunorubicin and Cytarabine (Liposomal) (Lexi-Drugs),,
Clindamycin (Topical) (Pediatric and Neonatal Lexi-Drugs),,
Isosorbide Dinitrate and Hydralazine (Lexi-Drugs),,
Lidocaine and Hydrocortisone (Lexi-Drugs),"See individual agents.

",
Ganciclovir (Ophthalmic) (Lexi-Drugs),,
Clot Dissolving Drugs for Heart Attack or Stroke (Patient Education - Disease and Procedure),,
Eteplirsen (Pediatric and Neonatal Lexi-Drugs),,
Gentamicin (Systemic) (Lexi-Drugs),"Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
Ascorbic Acid (Pediatric and Neonatal Lexi-Drugs),"False-negative stool occult blood 48 to 72 hours after ascorbic acid ingestion.

Ascorbic acid may interfere with laboratory tests based on oxidation-reduction reactions (eg, blood and urine glucose testing, nitrite and bilirubin levels, leucocyte count). High-dose ascorbic acid has been associated with falsely-elevated glucose measurements by point of care glucometers. Use of plasma laboratory assays or an FDA-approved device that corrects for interferences are recommended (Hager 2019; Tran 2014; Vasudevan 2014). Alternatively, laboratory tests based on oxidation-reduction reactions should be delayed until 24 hours after dose.

",
Doxapram (Lexi-Drugs),,
Taliglucerase Alfa (Pediatric and Neonatal Lexi-Drugs),,
Dolasetron (Pediatric and Neonatal Lexi-Drugs),,
Omadacycline (Lexi-Drugs),,"Oral omadacycline serum levels may be decreased if taken with high-fat meal or dairy. Management: Administer oral omadacycline after fasting for ≥4 hours, avoid food and drink (except water) for 2 hours after administration, and avoid dairy products for 4 hours after administration.

"
Belatacept (Lexi-Drugs),,
Scopolamine (Geriatric Lexi-Drugs),"Interferes with gastric secretion test. Transdermal system should be discontinued ≥10 days prior to testing.

",
Vancomycin (Pediatric and Neonatal Lexi-Drugs),,
Ampicillin and Sulbactam (Lexi-Drugs),"May interfere with urinary glucose tests using cupric sulfate (Benedict's solution, Fehling’s solution, or Clinitest®).



Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
Buprenorphine and Naloxone (Pediatric and Neonatal Lexi-Drugs),,
Lidocaine (Otic) (Lexi-Drugs),,
BUPivacaine (Lexi-Drugs),,
"Growth Hormone, Serum (Lab Tests and Diagnostic Procedures)",,
Technetium Tc 99m Albumin Aggregated (Lexi-Drugs),,
Tetracaine (Spinal) (Lexi-Drugs),,
Dexrazoxane (Lexi-Drugs),,
Mepivacaine (Pharmacogenomics),,
Erythromycin (Topical) (Lexi-Drugs),,
Ciprofloxacin (Ophthalmic) (Lexi-Drugs),,
CARBOplatin (Lexi-Drugs),,
Basiliximab (Lexi-Drugs),,
Tromethamine (Lexi-Drugs),,
Alprostadil (Lexi-Drugs),,
Aztreonam (Oral Inhalation) (Infectious Diseases),,
Ferric Carboxymaltose (Geriatric Lexi-Drugs),"Serum or transferrin bound iron levels may be falsely elevated if assessed within 24 hours of ferric carboxymaltose administration.

",
Gadoteridol (Pediatric and Neonatal Lexi-Drugs),,
Methotrimeprazine (Lexi-Drugs),"Phenothiazines may cause false-positive or negative pregnancy tests.

",
Morphine (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Ethanol: Alcoholic beverages or ethanol-containing products may disrupt extended release formulation resulting in rapid release of entire morphine dose. Management: Avoid alcohol. Do not administer Kadian with alcoholic beverages or ethanol-containing prescription or nonprescription products.

Food: Administration of oral morphine solution with food may increase bioavailability (ie, a report of 34% increase in morphine AUC when morphine oral solution followed a high-fat meal). The bioavailability of MorphaBond, MS Contin, or Kadian does not appear to be affected by food. Management: Take consistently with or without meals.

"
Sodium Acetate (Lexi-Drugs),,
Topotecan (Lexi-Drugs),,
MetroNIDAZOLE (Topical) (Lexi-Drugs),,
Edrophonium and Atropine (Lexi-Drugs),,
Tranexamic Acid (Pediatric and Neonatal Lexi-Drugs),,
Ciprofloxacin and Dexamethasone (Lexi-Drugs),,
Verapamil (Lexi-Drugs),"May interfere with urine detection of methadone (false-positive) (Lichtenwalner 1998).

","Ethanol: Verapamil may increase blood ethanol levels and prolong its effects. Management: Monitor patients and caution about increased effects.

Food: Grapefruit juice may increase the serum concentration of verapamil. Management: Use with caution and monitor for effects.

"
Melphalan (Pediatric and Neonatal Lexi-Drugs),"False-positive Coombs' test [direct]

","

Food interferes with oral absorption. Management: Administer on an empty stomach.

"
PACLitaxel (Conventional) (Lexi-Drugs),,
Methyldopa (Lexi-Drugs),"Methyldopa interferes with the following laboratory tests: urinary uric acid (phosphotungstate method), serum creatinine (alkaline picrate method), AST (colorimetric method), and urinary catecholamines (falsely high levels)

May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

",
Ciprofloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Food decreases rate, but not extent, of absorption. Ciprofloxacin may increase serum caffeine levels if taken concurrently. Rarely, crystalluria may occur. Enteral feedings may decrease plasma concentrations of ciprofloxacin probably by >30% inhibition of absorption. Management: May administer with most foods to minimize GI upset. If unable to avoid the following foods, administer ciprofloxacin at least 2 hours before or 6 hours after dairy products or calcium-fortified juices alone or in a meal containing >800 mg calcium. Restrict caffeine intake if excessive cardiac or CNS stimulation occurs. Ensure adequate hydration during therapy. Ciprofloxacin should not be administered with enteral feedings. The feeding would need to be discontinued for 1 to 2 hours prior to and after ciprofloxacin administration. Nasogastric administration produces a greater loss of ciprofloxacin bioavailability than does nasoduodenal administration.

"
Ambroxol [INT] (Lexi-Drugs International [Concise]),,
Aducanumab (Lexi-Drugs),,
Magnesium Chloride (Lexi-Drugs),,
Taliglucerase Alfa (Lexi-Drugs),,
RiTUXimab (Lexi-Drugs),,
Cetirizine and Pseudoephedrine (Lexi-Drugs),"See individual agents.

","See individual agents.



"
Clindamycin and Tretinoin (Lexi-Drugs),,
Erythromycin (Ophthalmic) (Lexi-Drugs),,
Neostigmine (Briggs Drugs in Pregnancy and Lactation),,
Nesiritide (Lexi-Drugs),,
Aminophylline (Lexi-Drugs),"Plasma glucose, uric acid, free fatty acids, total cholesterol, HDL, HDL/LDL ratio, and urinary free cortisol excretion may be increased by theophylline. Theophylline may decrease triiodothyronine.

","Ethanol: Ethanol may decrease theophylline clearance. Management: Monitor theophylline concentrations, particularly when alcohol consumption patterns change.

Food: Theophylline clearance is increased and half-life decreased by low carbohydrate/high protein diets, parenteral nutrition, and daily consumption of charcoal-broiled beef; a high carbohydrate/low protein diet can decrease the clearance and prolong the half-life of theophylline. Management: Avoid extremes of dietary protein and carbohydrate intake.

"
,,
